visible_min,visible_max,visible_mean,visible_mean_distribution,visible_contrast,visible_second_angular_momentum,visible_entropy,IR_min,IR_max,IR_mean,log_asm,entropy_x_contrast,IR_range,IR_norm_range,class
5.0,116.0,36.0195,0.0703,568.975,0.0315,3.6985,171.0,234.0,216.6875,-3.457768,2104.354038,63.0,0.290741,0
4.0,78.0,12.1563,0.0215,107.8208,0.1449,2.5383,193.0,235.0,229.9531,-1.931711,273.681537,42.0,0.182646,0
4.0,128.0,22.0547,0.0403,298.7,0.0823,3.1272,172.0,236.0,224.1055,-2.497384,934.09464,64.0,0.28558,0
4.0,127.0,26.6719,0.0559,403.9792,0.0361,3.5378,167.0,234.0,220.6367,-3.321462,1429.197614,67.0,0.303667,0
6.0,150.0,44.6367,0.0844,811.0958,0.0267,3.8723,161.0,235.0,212.1094,-3.623092,3140.806266,74.0,0.348877,0
6.0,141.0,51.9727,0.0799,709.2292,0.0259,3.8191,162.0,237.0,208.5352,-3.653512,2708.617238,75.0,0.359652,0
6.0,140.0,49.7695,0.0864,789.9916,0.0236,3.896,165.0,237.0,210.7266,-3.746509,3077.807274,72.0,0.341675,0
5.0,78.0,17.043,0.0299,140.3542,0.0764,2.9614,195.0,238.0,230.6953,-2.571773,415.644928,43.0,0.186393,0
6.0,115.0,23.8047,0.042,342.0583,0.0733,3.1733,176.0,237.0,226.625,-2.613195,1085.453603,61.0,0.269167,0
7.0,141.0,32.9063,0.067,547.2209,0.0325,3.6859,166.0,237.0,218.8398,-3.426515,2017.001515,71.0,0.324438,0
7.0,145.0,40.3945,0.0629,490.3209,0.0326,3.6723,165.0,235.0,214.9297,-3.423443,1800.605441,70.0,0.325688,0
9.0,114.0,36.5625,0.053,326.45,0.0377,3.4987,184.0,234.0,218.4648,-3.278095,1142.150615,50.0,0.22887,0
12.0,105.0,41.4961,0.0588,360.875,0.0347,3.5334,181.0,233.0,216.2734,-3.361016,1275.115725,52.0,0.240436,0
12.0,137.0,51.0352,0.072,584.0667,0.028,3.7435,167.0,233.0,210.4688,-3.575551,2186.453691,66.0,0.313586,0
10.0,182.0,106.7813,0.1244,1534.4332,0.019,4.1332,151.0,233.0,176.25,-3.963316,6342.119302,82.0,0.465248,0
22.0,198.0,129.5039,0.0876,801.9874,0.0233,3.9221,151.0,225.0,166.3086,-3.759302,3145.474782,74.0,0.444956,0
6.0,215.0,108.1289,0.0938,950.525,0.0233,3.973,152.0,236.0,179.5859,-3.759302,3776.435825,84.0,0.467743,0
5.0,213.0,83.1211,0.0781,701.7667,0.027,3.8126,153.0,237.0,190.1406,-3.611918,2675.55572,84.0,0.441778,0
3.0,177.0,26.8125,0.0349,271.0792,0.1171,2.8282,154.0,239.0,223.1211,-2.144727,766.666193,85.0,0.380959,0
3.0,195.0,58.9219,0.0575,614.7667,0.1009,3.1781,153.0,240.0,209.625,-2.293625,1953.790049,87.0,0.415027,0
7.0,201.0,121.0664,0.0758,676.35,0.0275,3.7934,77.0,237.0,154.6992,-3.593569,2565.66609,160.0,1.034265,0
8.0,124.0,43.4063,0.0398,230.2292,0.0509,3.243,59.0,227.0,172.6563,-2.977892,746.633296,168.0,0.973031,0
8.0,166.0,69.9609,0.0659,542.725,0.0317,3.6293,150.0,233.0,190.8125,-3.451439,1969.711842,83.0,0.434982,0
13.0,178.0,91.9688,0.1058,1085.3584,0.0202,4.0505,149.0,233.0,183.2969,-3.902073,4396.244199,84.0,0.458273,0
7.0,189.0,103.625,0.0889,813.8126,0.0233,3.9156,150.0,236.0,178.7422,-3.759302,3186.564617,86.0,0.48114,0
7.0,188.0,84.0508,0.0947,901.7875,0.021,3.9842,150.0,236.0,187.5078,-3.863233,3592.901758,86.0,0.458648,0
7.0,171.0,73.6289,0.08,740.1833,0.0255,3.8339,151.0,236.0,193.3711,-3.669077,2837.788754,85.0,0.439569,0
6.0,189.0,65.3516,0.0848,797.3792,0.0241,3.8927,150.0,236.0,199.9023,-3.725543,3103.958012,86.0,0.43021,0
9.0,178.0,103.9961,0.1142,1293.8959,0.0186,4.1176,151.0,232.0,176.5898,-3.984594,5327.745758,81.0,0.45869,0
9.0,187.0,76.4453,0.0962,953.1791,0.0214,3.9942,150.0,231.0,191.9688,-3.844364,3807.187961,81.0,0.421944,0
10.0,169.0,68.0156,0.0867,817.6666,0.0233,3.9259,154.0,231.0,196.6953,-3.759302,3210.077305,77.0,0.391468,0
10.0,166.0,74.7852,0.0996,1016.4583,0.0216,4.013,155.0,230.0,194.5898,-3.835062,4079.047158,75.0,0.385426,0
11.0,157.0,65.6172,0.0945,922.4584,0.0237,3.9493,160.0,231.0,199.9414,-3.74228,3643.064959,71.0,0.355104,0
4.0,144.0,28.6445,0.0533,383.5667,0.0395,3.4849,163.0,234.0,220.2539,-3.231455,1336.691593,71.0,0.322355,0
4.0,94.0,17.5625,0.0357,212.0,0.0617,3.1088,186.0,234.0,226.668,-2.785471,659.0656,48.0,0.211763,0
4.0,61.0,10.457,0.0166,46.9792,0.1185,2.4576,198.0,234.0,230.6445,-2.132842,115.456082,36.0,0.156084,0
5.0,97.0,21.7852,0.0391,227.6583,0.0538,3.2015,191.0,235.0,225.25,-2.922482,728.848047,44.0,0.195339,0
7.0,153.0,48.3359,0.0769,732.0042,0.0291,3.7615,161.0,237.0,211.332,-3.537017,2753.433798,76.0,0.359624,0
7.0,157.0,82.5742,0.0933,894.1209,0.0224,3.9413,158.0,236.0,190.6445,-3.798694,3523.998703,78.0,0.409138,0
6.0,125.0,30.8516,0.0521,345.225,0.0393,3.4754,172.0,237.0,222.2344,-3.236531,1199.794965,65.0,0.292484,0
6.0,64.0,15.7305,0.0249,89.2917,0.0808,2.8185,213.0,237.0,231.6563,-2.515778,251.668656,24.0,0.103602,0
7.0,52.0,20.4023,0.0317,116.7208,0.0561,3.0741,210.0,236.0,227.7109,-2.880619,358.811411,26.0,0.11418,0
7.0,84.0,18.8906,0.0326,173.2833,0.0695,3.0419,195.0,236.0,227.168,-2.666429,527.11047,41.0,0.180483,0
9.0,106.0,34.4063,0.057,356.3791,0.0333,3.5622,182.0,235.0,219.6797,-3.402198,1269.49363,53.0,0.24126,0
10.0,150.0,56.3711,0.0721,547.4083,0.0282,3.7506,161.0,236.0,207.9805,-3.568433,2053.10957,75.0,0.360611,0
15.0,140.0,60.5469,0.0692,496.1917,0.0295,3.6945,163.0,231.0,205.1367,-3.523365,1833.180236,68.0,0.331486,0
4.0,168.0,47.4375,0.0855,948.3625,0.031,3.814,152.0,237.0,206.0938,-3.473768,3617.054575,85.0,0.412434,0
4.0,157.0,61.0078,0.0869,885.1249,0.0246,3.9049,155.0,238.0,200.3516,-3.705009,3456.324222,83.0,0.414272,0
5.0,224.0,97.0195,0.0839,798.946,0.0249,3.8629,153.0,239.0,188.3047,-3.692887,3086.248503,86.0,0.456707,0
4.0,161.0,43.8945,0.071,679.4,0.0315,3.7563,153.0,239.0,214.5625,-3.457768,2552.03022,86.0,0.400816,0
4.0,182.0,64.0859,0.0945,919.7751,0.0215,3.9708,151.0,238.0,200.8906,-3.839702,3652.242967,87.0,0.433072,0
4.0,182.0,56.2305,0.0478,249.175,0.0395,3.4054,65.0,238.0,197.207,-3.231455,848.540545,173.0,0.877251,0
5.0,152.0,43.4297,0.0569,576.2334,0.0491,3.4366,127.0,238.0,210.2188,-3.013896,1980.283702,111.0,0.528021,0
13.0,168.0,77.4258,0.0474,253.6792,0.0395,3.4025,55.0,217.0,146.25,-3.231455,863.143478,162.0,1.107692,0
6.0,164.0,78.375,0.061,405.325,0.031,3.6235,131.0,236.0,180.3594,-3.473768,1468.695137,105.0,0.582171,0
4.0,162.0,45.5078,0.0765,767.7626,0.031,3.7926,151.0,238.0,208.9531,-3.473768,2911.816437,87.0,0.416361,0
4.0,190.0,37.6953,0.0549,575.3,0.1141,3.1594,153.0,240.0,219.4688,-2.17068,1817.60282,87.0,0.396412,0
4.0,189.0,46.25,0.0591,718.1918,0.1233,3.1235,151.0,239.0,215.3125,-2.093135,2243.272087,88.0,0.408708,0
19.0,179.0,91.793,0.0972,1048.275,0.0227,3.9663,153.0,228.0,184.6328,-3.78539,4157.773133,75.0,0.406212,0
5.0,169.0,60.9102,0.0964,1006.0501,0.022,3.9976,155.0,237.0,202.3008,-3.816713,4021.78588,82.0,0.405337,0
7.0,179.0,63.7422,0.1006,1071.4249,0.0211,4.0339,154.0,236.0,200.0625,-3.858482,4322.020904,82.0,0.409872,0
7.0,177.0,74.5078,0.0951,1087.2251,0.0241,3.9288,152.0,233.0,194.1328,-3.725543,4271.489973,81.0,0.41724,0
12.0,183.0,99.9375,0.0839,737.5167,0.0235,3.8807,152.0,228.0,178.8555,-3.750755,2862.081058,76.0,0.424924,0
7.0,189.0,80.5117,0.0771,648.3583,0.0268,3.7921,153.0,235.0,189.6445,-3.619353,2458.639509,82.0,0.432388,0
13.0,189.0,104.625,0.0963,929.8791,0.0231,3.9346,151.0,227.0,177.1563,-3.767923,3658.702307,76.0,0.429,0
9.0,179.0,95.3164,0.0925,831.4083,0.024,3.8765,153.0,232.0,183.6719,-3.729701,3222.954275,79.0,0.430115,0
5.0,147.0,45.4648,0.0721,597.7458,0.0284,3.7547,157.0,237.0,211.5039,-3.561366,2244.356155,80.0,0.378244,0
5.0,94.0,20.5938,0.0441,248.35,0.0483,3.2979,186.0,236.0,225.125,-3.030324,819.033465,50.0,0.222099,0
6.0,125.0,40.3828,0.0722,564.6875,0.0283,3.7342,172.0,235.0,214.4922,-3.564893,2108.656063,63.0,0.293717,0
11.0,136.0,60.6641,0.09,851.3667,0.0238,3.9051,170.0,235.0,206.6172,-3.73807,3324.6721,65.0,0.314591,0
7.0,174.0,45.5234,0.0802,732.45,0.0264,3.8021,159.0,236.0,215.5273,-3.634391,2784.848145,77.0,0.357263,0
5.0,116.0,17.6602,0.0332,263.2917,0.1148,2.812,176.0,238.0,230.2891,-2.164564,740.37626,62.0,0.269227,0
5.0,70.0,12.2969,0.0186,69.525,0.1573,2.4648,200.0,239.0,233.5234,-1.8496,171.36522,39.0,0.167007,0
5.0,118.0,35.6602,0.0539,355.0542,0.0385,3.5045,174.0,237.0,219.3516,-3.257097,1244.287444,63.0,0.28721,0
10.0,118.0,42.5859,0.0582,403.9167,0.0355,3.551,174.0,233.0,214.8086,-3.338223,1434.308202,59.0,0.274663,0
12.0,157.0,61.1992,0.0746,547.9626,0.0298,3.6918,161.0,233.0,203.5313,-3.513247,2022.968327,72.0,0.353754,0
9.0,159.0,45.0156,0.0653,466.8917,0.0305,3.6761,160.0,235.0,214.3672,-3.490029,1716.340578,75.0,0.349867,0
14.0,163.0,64.5586,0.0785,637.1417,0.0283,3.7834,158.0,233.0,203.5117,-3.564893,2410.561908,75.0,0.368529,0
7.0,166.0,72.0156,0.1129,1359.3418,0.0212,4.0516,159.0,237.0,196.4023,-3.853754,5507.509237,78.0,0.397144,0
12.0,158.0,78.293,0.0853,780.3292,0.0257,3.8475,157.0,233.0,189.5586,-3.661264,3002.316597,76.0,0.400931,0
35.0,198.0,101.1094,0.0712,524.2876,0.0272,3.723,155.0,215.0,180.1602,-3.604538,1951.922735,60.0,0.333037,0
39.0,195.0,131.2539,0.069,469.7583,0.0276,3.6791,153.0,214.0,165.8008,-3.58994,1728.287762,61.0,0.367911,0
4.0,179.0,62.2539,0.0854,905.2333,0.0265,3.8757,153.0,238.0,204.3789,-3.630611,3508.412701,85.0,0.415894,0
4.0,213.0,119.9648,0.0745,618.7792,0.0281,3.7773,45.0,239.0,163.9141,-3.571986,2337.314672,194.0,1.183547,0
35.0,221.0,136.0742,0.0841,725.5333,0.0261,3.8019,65.0,220.0,157.1016,-3.64582,2758.405053,155.0,0.986623,0
58.0,217.0,142.4961,0.0569,351.4125,0.0334,3.548,6.0,162.0,80.3164,-3.399199,1246.81155,156.0,1.942318,0
37.0,165.0,118.75,0.0403,172.4625,0.0475,3.2474,78.0,186.0,130.7383,-3.047026,560.054722,108.0,0.826078,0
5.0,150.0,62.0859,0.0404,183.8167,0.0485,3.2203,139.0,238.0,193.7813,-3.026191,591.944919,99.0,0.510885,0
4.0,93.0,19.9805,0.0235,93.7375,0.1048,2.722,184.0,239.0,228.0781,-2.255702,255.153475,55.0,0.241145,0
4.0,182.0,43.3984,0.0539,397.3417,0.0434,3.4657,153.0,238.0,214.7773,-3.137296,1377.06713,85.0,0.395759,0
14.0,189.0,95.8477,0.1037,1176.8668,0.0197,4.0637,154.0,233.0,183.1172,-3.927137,4782.433615,79.0,0.431418,0
11.0,180.0,79.3711,0.0825,668.7709,0.0242,3.8326,152.0,230.0,189.2305,-3.721403,2563.131351,78.0,0.412196,0
5.0,169.0,45.2383,0.075,799.4958,0.0332,3.7414,155.0,236.0,211.6172,-3.405205,2991.233586,81.0,0.382767,0
5.0,170.0,33.3945,0.063,663.4084,0.0471,3.5199,161.0,236.0,218.9219,-3.055482,2335.131227,75.0,0.342588,0
5.0,205.0,99.9414,0.1065,1388.9626,0.0221,4.0489,152.0,236.0,186.0313,-3.812178,5623.770671,84.0,0.451537,0
19.0,187.0,95.0781,0.0953,968.8416,0.023,3.9469,154.0,230.0,183.8008,-3.772261,3823.920911,76.0,0.413491,0
14.0,173.0,78.4219,0.0946,896.3542,0.0219,3.9692,154.0,234.0,193.5469,-3.821269,3557.809091,80.0,0.413337,0
10.0,184.0,84.5586,0.0981,1073.5375,0.0215,4.0272,151.0,237.0,193.4531,-3.839702,4323.35022,86.0,0.444552,0
10.0,204.0,98.4141,0.095,983.5042,0.0216,3.9957,152.0,237.0,186.1641,-3.835062,3929.787732,85.0,0.456586,0
11.0,197.0,97.0078,0.0932,955.4875,0.0233,3.9227,153.0,231.0,184.0898,-3.759302,3748.090816,78.0,0.423706,0
9.0,171.0,87.6211,0.0924,840.9417,0.0238,3.8794,153.0,231.0,187.6367,-3.73807,3262.349231,78.0,0.415697,0
15.0,159.0,75.3828,0.1005,1087.3751,0.0213,4.0304,157.0,232.0,198.543,-3.849048,4382.556603,75.0,0.377752,0
12.0,174.0,70.9336,0.0953,957.6626,0.0219,3.9634,159.0,234.0,203.3008,-3.821269,3795.599949,75.0,0.368911,0
5.0,173.0,48.1641,0.0721,630.2791,0.0291,3.7812,162.0,236.0,212.6133,-3.537017,2383.211333,74.0,0.34805,0
5.0,136.0,20.0273,0.036,257.6458,0.093,2.9908,170.0,239.0,229.375,-2.375156,770.567059,69.0,0.300817,0
5.0,56.0,9.1563,0.0101,32.6667,0.2477,1.8889,212.0,237.0,234.7891,-1.395537,61.70413,25.0,0.106479,0
7.0,121.0,34.1797,0.0414,296.4417,0.1252,2.958,169.0,236.0,219.8555,-2.077843,876.874549,67.0,0.304746,0
26.0,194.0,115.9531,0.0806,697.8165,0.0261,3.8202,153.0,222.0,173.4766,-3.64582,2665.798593,69.0,0.397748,0
8.0,152.0,41.9141,0.0559,383.0833,0.0389,3.5219,158.0,238.0,214.8828,-3.246761,1349.181074,80.0,0.372296,0
8.0,131.0,39.1484,0.0658,519.0876,0.0315,3.6908,170.0,239.0,218.0234,-3.457768,1915.848514,69.0,0.31648,0
4.0,199.0,61.0703,0.075,674.8499,0.0306,3.7775,155.0,240.0,204.8398,-3.486755,2549.245497,85.0,0.414958,0
5.0,199.0,96.9922,0.076,714.3752,0.0296,3.745,155.0,240.0,186.7305,-3.519981,2675.335124,85.0,0.455201,0
96.0,218.0,167.1484,0.0645,431.3209,0.0308,3.6145,153.0,177.0,157.3711,-3.480241,1559.009393,24.0,0.152506,0
41.0,197.0,143.6289,0.0586,383.4459,0.0343,3.5625,153.0,217.0,161.1641,-3.37261,1366.026019,64.0,0.397111,0
4.0,166.0,53.5469,0.0812,872.3251,0.0284,3.8521,156.0,239.0,208.1836,-3.561366,3360.283518,83.0,0.398687,0
4.0,168.0,61.0234,0.0914,993.1415,0.0258,3.9558,155.0,239.0,203.9375,-3.657381,3928.669146,84.0,0.411891,0
5.0,195.0,67.9102,0.128,1989.3917,0.0209,4.1868,132.0,238.0,202.3711,-3.868006,8329.18517,106.0,0.52379,0
6.0,229.0,97.625,0.0719,613.7458,0.0301,3.7243,1.0,237.0,134.0742,-3.50323,2285.773483,236.0,1.760219,0
55.0,190.0,113.5586,0.0589,387.3833,0.0358,3.5328,47.0,148.0,102.4922,-3.329807,1368.547722,101.0,0.985441,0
24.0,182.0,108.0859,0.0566,379.5084,0.0353,3.5302,93.0,222.0,154.707,-3.343872,1339.740554,129.0,0.833834,0
19.0,176.0,93.3633,0.0703,511.6166,0.0276,3.7177,155.0,227.0,185.0664,-3.58994,1902.037034,72.0,0.38905,0
11.0,199.0,111.0195,0.0938,972.0583,0.0239,3.9395,152.0,234.0,178.4883,-3.733877,3829.423673,82.0,0.459414,0
12.0,166.0,81.5664,0.0862,802.5792,0.0237,3.8782,153.0,229.0,188.4922,-3.74228,3112.562653,76.0,0.4032,0
9.0,167.0,61.8086,0.0704,536.7501,0.0289,3.7088,155.0,231.0,200.7109,-3.543914,1990.698771,76.0,0.378654,0
17.0,157.0,68.3047,0.056,342.5375,0.0335,3.544,157.0,227.0,196.1602,-3.39621,1213.9529,70.0,0.356851,0
5.0,174.0,81.8438,0.061,410.7584,0.0314,3.6298,153.0,236.0,188.5625,-3.460947,1490.97084,83.0,0.440172,0
6.0,167.0,50.168,0.0772,754.1251,0.0279,3.8231,157.0,237.0,210.418,-3.579129,2883.09567,80.0,0.380196,0
7.0,177.0,81.7383,0.109,1259.3628,0.0214,4.0212,157.0,236.0,194.1172,-3.844364,5064.149691,79.0,0.406971,0
10.0,157.0,71.6641,0.0954,959.3207,0.0227,3.9584,155.0,237.0,199.5195,-3.78539,3797.375059,82.0,0.410987,0
6.0,135.0,56.3633,0.0805,749.2582,0.0265,3.855,165.0,241.0,208.1563,-3.630611,2888.390361,76.0,0.36511,0
7.0,155.0,44.6367,0.0653,549.5833,0.0362,3.6145,161.0,240.0,215.7852,-3.318696,1986.468838,79.0,0.366105,0
7.0,179.0,81.9336,0.0796,701.3708,0.025,3.8536,153.0,238.0,194.7969,-3.688879,2702.802515,85.0,0.436352,0
7.0,176.0,81.75,0.0976,1012.6793,0.0217,3.999,153.0,238.0,193.0781,-3.830443,4049.704521,85.0,0.440236,0
9.0,182.0,75.8359,0.1063,1156.5585,0.0199,4.0436,155.0,237.0,199.1133,-3.917036,4676.659951,82.0,0.411826,0
11.0,183.0,80.6367,0.1057,1190.2375,0.0212,4.0224,155.0,234.0,197.3398,-3.853754,4787.61132,79.0,0.400325,0
14.0,192.0,97.6016,0.0854,758.9916,0.0238,3.8802,155.0,233.0,186.6211,-3.73807,2945.039206,78.0,0.417959,0
10.0,177.0,81.7539,0.0744,577.2333,0.0269,3.7812,154.0,236.0,193.4258,-3.615629,2182.634554,82.0,0.423935,0
8.0,151.0,59.1992,0.0832,721.5791,0.0235,3.8948,158.0,234.0,205.9375,-3.750755,2810.406279,76.0,0.369044,0
7.0,152.0,29.6172,0.0472,336.2209,0.0535,3.3347,166.0,236.0,222.5391,-2.928074,1121.195835,70.0,0.314551,0
9.0,157.0,38.3633,0.0559,497.275,0.0497,3.4708,154.0,234.0,216.7461,-3.00175,1725.94207,80.0,0.369095,0
7.0,91.0,25.6641,0.0403,266.9459,0.065,3.1878,192.0,237.0,225.2227,-2.733368,850.97014,45.0,0.199802,0
7.0,85.0,13.6797,0.018,85.6792,0.1923,2.2792,198.0,239.0,232.918,-1.648699,195.280033,41.0,0.176028,0
4.0,162.0,39.875,0.0592,519.0958,0.0416,3.5424,155.0,239.0,218.332,-3.179655,1838.844962,84.0,0.384735,0
5.0,179.0,44.8711,0.0549,455.2959,0.0444,3.4642,155.0,240.0,213.4922,-3.114516,1577.236057,85.0,0.398141,0
10.0,200.0,98.3945,0.1145,1335.8457,0.0177,4.1446,154.0,236.0,184.3867,-4.034191,5536.546088,82.0,0.444718,0
6.0,169.0,61.4141,0.0703,636.0584,0.0303,3.7068,155.0,239.0,204.5977,-3.496608,2357.741277,84.0,0.410562,0
9.0,149.0,52.8516,0.069,545.2167,0.0307,3.6996,160.0,236.0,207.9727,-3.483493,2017.083703,76.0,0.365433,0
7.0,176.0,69.7461,0.0907,964.5916,0.0238,3.939,155.0,233.0,197.6406,-3.73807,3799.526312,78.0,0.394656,0
4.0,181.0,51.957,0.1034,1252.1793,0.0219,4.0446,155.0,239.0,211.4727,-3.821269,5064.564397,84.0,0.397214,0
5.0,169.0,39.3125,0.072,868.6791,0.0431,3.6115,77.0,237.0,203.2266,-3.144232,3137.23457,160.0,0.787299,0
15.0,156.0,58.0195,0.0771,705.1,0.0256,3.871,49.0,215.0,154.1484,-3.665163,2729.4421,166.0,1.076884,0
8.0,155.0,46.4492,0.0799,861.025,0.0295,3.772,107.0,227.0,189.1602,-3.523365,3247.7863,120.0,0.634383,0
13.0,212.0,119.1836,0.1103,1218.421,0.0199,4.0848,134.0,228.0,169.3594,-3.917036,4977.006101,94.0,0.555033,0
5.0,199.0,90.0664,0.105,1170.2292,0.0201,4.0665,151.0,235.0,187.7969,-3.907035,4758.737042,84.0,0.447292,0
5.0,208.0,118.9336,0.0953,1033.9834,0.0233,3.9536,148.0,235.0,174.0664,-3.759302,4087.95677,87.0,0.499809,0
10.0,194.0,85.7891,0.107,1210.7958,0.0202,4.0416,150.0,231.0,189.0039,-3.902073,4893.552305,81.0,0.428563,0
9.0,203.0,110.4414,0.092,845.2166,0.0219,3.9473,154.0,235.0,179.0625,-3.821269,3336.323485,81.0,0.452356,0
9.0,206.0,87.8633,0.0928,975.2958,0.0222,3.9753,153.0,233.0,190.0977,-3.807663,3877.093394,80.0,0.420836,0
12.0,194.0,92.2617,0.0963,926.2626,0.0235,3.9297,154.0,232.0,186.7617,-3.750755,3639.934139,78.0,0.417645,0
16.0,191.0,93.1797,0.0832,666.0958,0.0252,3.8207,155.0,230.0,184.8125,-3.680911,2544.952223,75.0,0.405817,0
15.0,190.0,82.2031,0.0769,628.6542,0.0249,3.8413,157.0,231.0,192.8516,-3.692887,2414.849378,74.0,0.383715,0
16.0,147.0,82.3711,0.0734,541.6792,0.0277,3.7327,161.0,231.0,191.6836,-3.586323,2021.92595,70.0,0.365185,0
18.0,151.0,95.1094,0.0599,376.5375,0.034,3.5603,158.0,230.0,182.4023,-3.381395,1340.586461,72.0,0.394732,0
8.0,166.0,82.6172,0.07,584.5459,0.0308,3.6982,157.0,238.0,192.1016,-3.480241,2161.767647,81.0,0.421652,0
9.0,168.0,59.6367,0.0847,731.1208,0.0267,3.8296,157.0,237.0,207.6719,-3.623092,2799.900216,80.0,0.385223,0
8.0,157.0,53.9492,0.0932,974.6835,0.0232,3.9754,158.0,237.0,210.4531,-3.763603,3874.756786,79.0,0.375381,0
9.0,169.0,62.7578,0.0983,1106.2377,0.0228,3.9603,159.0,237.0,205.793,-3.780995,4381.033163,78.0,0.379022,0
9.0,168.0,61.2461,0.0965,1016.0208,0.0231,3.9787,160.0,237.0,206.957,-3.767923,4042.441957,77.0,0.372058,0
8.0,176.0,66.5781,0.0909,856.1791,0.0226,3.9287,154.0,238.0,204.1563,-3.789805,3363.67083,84.0,0.411449,0
10.0,169.0,73.5078,0.09,813.9791,0.0235,3.9079,155.0,236.0,197.6133,-3.750755,3180.948925,81.0,0.409891,0
11.0,164.0,76.7344,0.0906,850.8666,0.0228,3.9261,156.0,232.0,195.4453,-3.780995,3340.587358,76.0,0.388856,0
12.0,172.0,66.0625,0.098,1007.3666,0.022,3.9745,157.0,236.0,202.6523,-3.816713,4003.778552,79.0,0.38983,0
10.0,161.0,54.9258,0.0749,605.9542,0.0275,3.7693,157.0,234.0,207.8125,-3.593569,2284.023166,77.0,0.370526,0
10.0,136.0,52.9727,0.0876,803.9916,0.0232,3.9174,161.0,234.0,210.5117,-3.763603,3149.556694,73.0,0.346774,0
8.0,192.0,74.6133,0.0869,783.6541,0.0236,3.9067,157.0,236.0,198.8164,-3.746509,3061.501472,79.0,0.397352,0
5.0,169.0,52.5195,0.0788,676.7958,0.0257,3.8378,159.0,239.0,209.7813,-3.661264,2597.406921,80.0,0.38135,0
4.0,195.0,79.8555,0.103,1316.2625,0.0217,4.0632,155.0,239.0,196.1289,-3.830443,5348.23779,84.0,0.42829,0
9.0,178.0,84.1758,0.0927,939.0333,0.0223,3.9821,150.0,232.0,190.4453,-3.803169,3739.324504,82.0,0.43057,0
19.0,157.0,72.3438,0.0539,328.5458,0.0359,3.5149,132.0,224.0,179.5234,-3.327018,1154.805632,92.0,0.512468,0
12.0,164.0,71.207,0.0667,490.4792,0.031,3.6417,153.0,228.0,190.582,-3.473768,1786.178103,75.0,0.393531,0
4.0,110.0,25.8867,0.0375,217.5208,0.0594,3.1677,173.0,237.0,223.5117,-2.823461,689.040638,64.0,0.286338,0
5.0,159.0,33.4922,0.0589,547.9667,0.0469,3.5205,161.0,237.0,218.1133,-3.059738,1929.116767,76.0,0.348443,0
5.0,203.0,73.3633,0.1002,1120.4918,0.0215,4.0562,121.0,237.0,196.4141,-3.839702,4544.938839,116.0,0.590589,0
